tag_id,r_id,time,row_id
052*125*568,4,17/04/17 00:31,3825193
052*125*568,4,17/04/17 00:31,3825194
052*125*568,4,17/04/17 00:31,3825195
034*330*827,5,17/04/17 00:31,3825196
034*330*827,5,17/04/17 00:31,3825197
052*125*568,4,17/04/17 00:31,3825198
034*330*827,5,17/04/17 00:31,3825199
034*330*827,5,17/04/17 00:31,3825200
034*330*827,5,17/04/17 00:31,3825201
052*125*568,4,17/04/17 00:31,3825202
052*125*568,4,17/04/17 00:31,3825203
840*120*383,5,17/04/17 00:31,3825204
052*125*568,4,17/04/17 00:31,3825205
036*558*113,1,17/04/17 00:31,3825206
034*330*827,5,17/04/17 00:31,3825207
052*125*568,4,17/04/17 00:31,3825208
052*125*568,4,17/04/17 00:32,3825209
840*120*383,1,17/04/17 00:32,3825210
840*120*383,1,17/04/17 00:32,3825211
840*120*383,1,17/04/17 00:32,3825212
052*125*568,4,17/04/17 00:32,3825213
052*125*568,4,17/04/17 00:32,3825214
052*125*568,4,17/04/17 00:32,3825215
052*125*568,4,17/04/17 00:32,3825216
036*558*113,1,17/04/17 00:33,3825217
840*120*383,1,17/04/17 00:33,3825218
036*558*113,1,17/04/17 00:33,3825219
034*330*827,5,17/04/17 00:33,3825220
840*120*383,1,17/04/17 00:33,3825221
034*330*827,5,17/04/17 00:33,3825222
034*330*827,5,17/04/17 00:33,3825223
036*558*113,5,17/04/17 00:33,3825224
036*558*113,5,17/04/17 00:33,3825225
052*125*568,5,17/04/17 00:33,3825226
840*120*383,1,17/04/17 00:33,3825227
034*330*827,1,17/04/17 00:33,3825228
840*120*383,1,17/04/17 00:33,3825229
034*330*827,1,17/04/17 00:34,3825230
034*330*827,1,17/04/17 00:34,3825231
034*330*827,5,17/04/17 00:34,3825232
034*330*827,5,17/04/17 00:34,3825233
034*330*827,5,17/04/17 00:34,3825234
034*330*827,5,17/04/17 00:35,3825235
034*330*827,5,17/04/17 00:35,3825236
840*120*383,1,17/04/17 00:35,3825237
034*330*827,5,17/04/17 00:35,3825238
840*120*383,5,17/04/17 00:35,3825239
034*330*827,5,17/04/17 00:35,3825240
034*330*827,5,17/04/17 00:35,3825241
036*522*098,5,17/04/17 00:36,3825242
034*330*827,5,17/04/17 00:36,3825243
034*330*827,5,17/04/17 00:36,3825244
034*330*827,5,17/04/17 00:36,3825245
036*522*098,5,17/04/17 00:36,3825246
034*330*827,5,17/04/17 00:36,3825247
036*522*098,3,17/04/17 00:37,3825248
036*522*098,2,17/04/17 00:37,3825249
036*522*098,6,17/04/17 00:37,3825250
036*522*098,5,17/04/17 00:37,3825251
034*330*827,3,17/04/17 00:38,3825252
034*330*827,6,17/04/17 00:38,3825253
034*330*827,1,17/04/17 00:38,3825254
034*330*827,5,17/04/17 00:39,3825255
034*330*827,5,17/04/17 00:39,3825256
034*330*827,5,17/04/17 00:39,3825257
034*330*827,5,17/04/17 00:39,3825258
034*330*827,5,17/04/17 00:39,3825259
036*522*098,5,17/04/17 00:39,3825260
034*330*827,1,17/04/17 00:40,3825261
036*522*098,5,17/04/17 00:40,3825262
036*522*098,5,17/04/17 00:40,3825263
036*522*098,5,17/04/17 00:40,3825264
036*522*098,5,17/04/17 00:40,3825265
037*099*377,2,17/04/17 00:40,3825266
036*522*098,5,17/04/17 00:40,3825267
036*522*098,5,17/04/17 00:40,3825268
034*330*827,1,17/04/17 00:40,3825269
036*522*098,5,17/04/17 00:40,3825270
036*522*098,5,17/04/17 00:41,3825271
052*125*568,1,17/04/17 00:41,3825272
034*330*827,5,17/04/17 00:41,3825273
037*099*377,1,17/04/17 00:41,3825274
036*522*098,5,17/04/17 00:41,3825275
034*330*827,5,17/04/17 00:41,3825276
025*633*288,3,17/04/17 00:41,3825277
025*633*288,2,17/04/17 00:41,3825278
037*099*377,1,17/04/17 00:41,3825279
840*122*030,3,17/04/17 00:41,3825280
840*122*030,2,17/04/17 00:41,3825281
052*125*568,1,17/04/17 00:41,3825282
840*122*030,2,17/04/17 00:41,3825283
052*125*568,1,17/04/17 00:41,3825284
036*558*113,5,17/04/17 00:41,3825285
036*558*113,5,17/04/17 00:41,3825286
036*558*113,5,17/04/17 00:41,3825287
025*633*288,1,17/04/17 00:41,3825288
052*125*568,1,17/04/17 00:41,3825289
036*558*113,5,17/04/17 00:41,3825290
025*633*288,5,17/04/17 00:41,3825291
025*633*288,5,17/04/17 00:41,3825292
025*633*288,5,17/04/17 00:42,3825293
025*633*288,5,17/04/17 00:42,3825294
052*125*568,1,17/04/17 00:42,3825295
840*122*030,1,17/04/17 00:42,3825296
052*125*568,1,17/04/17 00:42,3825297
840*122*030,1,17/04/17 00:42,3825298
840*122*030,1,17/04/17 00:42,3825299
037*099*377,1,17/04/17 00:42,3825300
036*558*113,1,17/04/17 00:42,3825301
037*099*377,1,17/04/17 00:42,3825302
036*558*113,1,17/04/17 00:42,3825303
037*099*377,1,17/04/17 00:42,3825304
036*558*113,1,17/04/17 00:42,3825305
037*099*377,1,17/04/17 00:42,3825306
036*558*113,1,17/04/17 00:42,3825307
037*099*377,1,17/04/17 00:42,3825308
036*558*113,1,17/04/17 00:42,3825309
037*099*377,1,17/04/17 00:42,3825310
036*558*113,1,17/04/17 00:42,3825311
037*099*377,1,17/04/17 00:42,3825312
036*558*113,1,17/04/17 00:42,3825313
037*099*377,1,17/04/17 00:42,3825314
036*558*113,1,17/04/17 00:42,3825315
037*099*377,1,17/04/17 00:42,3825316
036*558*113,1,17/04/17 00:42,3825317
037*099*377,1,17/04/17 00:42,3825318
052*125*568,5,17/04/17 00:42,3825319
037*099*377,5,17/04/17 00:42,3825320
037*099*377,4,17/04/17 00:43,3825321
036*558*113,1,17/04/17 00:43,3825322
052*125*568,5,17/04/17 00:43,3825323
037*099*377,4,17/04/17 00:43,3825324
037*099*377,5,17/04/17 00:43,3825325
